Dataset,Status,Model,#Problem,Accuracy,,,,Train Time,,,Average Memory,,
,,,,Original(%),AT(%),Improve(%),Ratio,Original(s),AT(s),Ratio,Original(MB),AT(MB),Ratio
,,260,-,64.56,-,-,-,68.85,70.95,1.03,4481.54,3761.05,0.84
,,261,-,58.28,-,-,-,99.61,105.82,1.06,3778.43,3658.91,0.97
,,262,-,63.25,-,-,-,70.50,69.59,0.99,4484.98,3781.85,0.84
,,263,-,53.75,-,-,-,260.51,258.30,0.99,4483.36,3774.03,0.84
,,264,-,69.73,-,-,-,160.82,160.23,1.00,3656.41,3657.91,1.00
,,265,-,68.56,-,-,-,244.74,232.25,0.95,3654.91,4476.24,1.22
,,266,-,54.02,-,-,-,163.66,158.76,0.97,3694.32,3772.11,1.02
,,267,-,64.81,-,-,-,80.73,85.93,1.06,3774.86,4364.30,1.16
,,268,-,69.95,-,-,-,153.53,163.25,1.06,3778.40,3658.93,0.97
,,269,-,58.19,-,-,-,99.35,98.74,0.99,4485.52,3782.38,0.84
,,270,-,68.67,-,-,-,119.36,118.75,0.99,4366.07,3662.94,0.84
,,271,-,63.21,-,-,-,115.37,118.38,1.03,3659.43,3660.93,1.00
,,272,-,58.06,-,-,-,97.00,105.45,1.09,4478.79,3775.66,0.84
,,273,-,61.26,-,-,-,74.83,76.42,1.02,3777.40,4017.39,1.06
,,274,-,57.24,-,-,-,137.34,139.30,1.01,4360.60,3692.74,0.85
,,275,-,57.62,-,-,-,102.61,102.27,1.00,3657.42,3775.41,1.03
MNIST,Repaired,276,1,73.68,99.19,25.51,0.35,132.88,208.74,1.57,3053.52,3235.17,1.06
,,277,1,9.33,99.17,89.84,9.63,148.82,212.36,1.43,3084.37,3083.77,1.00
,,278,1,9.54,99.23,89.69,9.40,151.17,250.63,1.66,3185.36,3185.61,1.00
,,279,2,10.32,97.45,87.13,8.44,71.16,289.85,4.07,3332.39,3152.95,0.95
,,280,1,16.14,99.11,82.97,5.14,65.40,123.88,1.89,3347.91,3138.69,0.94
,,281,1,9.52,99.21,89.69,9.42,107.77,163.18,1.51,3351.68,3142.33,0.94
,,282,1,22.05,99.26,77.21,3.50,152.95,220.48,1.44,3351.43,3142.08,0.94
,,283,1,10.32,99.29,88.97,8.62,105.31,156.25,1.48,3173.23,3173.23,1.00
,,284,2,10.32,97.49,87.17,8.45,120.46,721.08,5.99,3323.80,3144.36,0.95
,,285,1,11.35,99.19,87.84,7.74,120.53,210.88,1.75,3141.61,3144.11,1.00
,,286,1,11.35,99.20,87.85,7.74,138.83,241.15,1.74,3205.50,3175.59,0.99
,,287,1,11.35,99.19,87.84,7.74,190.17,313.81,1.65,3174.85,3145.36,0.99
,,288,1,14.07,98.34,84.27,5.99,66.07,101.34,1.53,3352.33,3142.98,0.94
,,289,1,9.50,99.21,89.71,9.44,123.55,225.97,1.83,3143.98,3356.33,1.07
